date,event,player_a,player_b,score_a,odds_a,odds_b
2019-01-07,Demo 1.1,H. Van Dijk,P. Doyle,1,1.7,2.22
2019-01-09,Demo 1.2,K. Mbaye,E. Tanaka,1,1.71,2.1
2019-01-11,Demo 1.3,C. Lindqvist,G. Petrov,0,2.02,1.7
2019-01-13,Demo 1.4,D. Moreau,O. Silva,1,1.59,2.71
2019-01-15,Demo 1.5,L. Kowalski,J. Schmidt,1,1.55,2.38
2019-01-17,Demo 1.6,H. Van Dijk,N. Berg,1,2.11,1.67
2019-01-19,Demo 1.7,L. Kowalski,C. Lindqvist,1,1.5,2.37
2019-01-21,Demo 1.8,F. O'Connell,I. Costa,0,2.48,1.48
2019-01-23,Demo 1.9,H. Van Dijk,K. Mbaye,1,2.01,1.67
2019-01-25,Demo 1.10,M. Rossi,E. Tanaka,1,1.57,2.37
2019-01-27,Demo 1.11,K. Mbaye,D. Moreau,0,2.21,1.77
2019-01-29,Demo 1.12,H. Van Dijk,L. Kowalski,0,2.63,1.44
2019-01-31,Demo 1.13,M. Rossi,F. O'Connell,1,1.29,2.83
2019-02-02,Demo 1.14,D. Moreau,C. Lindqvist,1,1.61,2.43
2019-02-04,Demo 1.15,C. Lindqvist,G. Petrov,0,1.92,1.62
2019-02-06,Demo 1.16,A. Novak,K. Mbaye,0,2.13,1.83
2019-02-08,Demo 1.17,I. Costa,M. Rossi,0,2.38,1.75
2019-02-10,Demo 1.18,I. Costa,P. Doyle,0,1.65,2.3
2019-02-12,Demo 1.19,J. Schmidt,N. Berg,1,1.99,1.9
2019-02-14,Demo 1.20,A. Novak,J. Schmidt,1,1.85,1.78
2019-02-16,Demo 1.21,J. Schmidt,D. Moreau,0,2.12,1.63
2019-02-18,Demo 1.22,C. Lindqvist,M. Rossi,0,2.18,1.58
2019-02-20,Demo 1.23,F. O'Connell,E. Tanaka,0,2.62,1.44
2019-02-22,Demo 1.24,G. Petrov,L. Kowalski,0,2.16,1.62
2019-02-24,Demo 1.25,O. Silva,P. Doyle,1,1.8,2.1
2019-02-26,Demo 1.26,H. Van Dijk,J. Schmidt,1,1.98,1.71
2019-02-28,Demo 1.27,H. Van Dijk,B. Ferreira,1,2.04,1.86
2019-03-02,Demo 1.28,G. Petrov,I. Costa,1,1.63,2.22
2019-03-04,Demo 1.29,P. Doyle,D. Moreau,0,3.04,1.42
2019-03-06,Demo 1.30,N. Berg,G. Petrov,0,2.02,1.92
2019-03-08,Demo 1.31,D. Moreau,A. Novak,0,1.59,2.32
2019-03-10,Demo 1.32,O. Silva,C. Lindqvist,0,2.22,1.63
2019-03-12,Demo 1.33,C. Lindqvist,H. Van Dijk,1,1.98,2.04
2019-03-14,Demo 1.34,A. Novak,B. Ferreira,0,1.87,1.96
2019-03-16,Demo 1.35,P. Doyle,H. Van Dijk,1,2.17,1.77
2019-03-18,Demo 1.36,I. Costa,O. Silva,0,1.77,2.13
2019-03-20,Demo 1.37,P. Doyle,C. Lindqvist,1,2.28,1.6
2019-03-22,Demo 1.38,K. Mbaye,A. Novak,1,1.91,2.05
2019-03-24,Demo 1.39,F. O'Connell,A. Novak,0,2.59,1.57
