date,event,player_a,player_b,odds_a,odds_b
2024-12-06,DemoUpcoming 1,K. Mbaye,C. Lindqvist,1.77,2.09
2024-12-07,DemoUpcoming 2,D. Moreau,P. Doyle,1.42,2.57
2024-12-08,DemoUpcoming 3,H. Van Dijk,E. Tanaka,1.94,1.82
2024-12-09,DemoUpcoming 4,C. Lindqvist,G. Petrov,2.18,1.84
2024-12-10,DemoUpcoming 5,C. Lindqvist,A. Novak,1.87,2.06
2024-12-11,DemoUpcoming 6,B. Ferreira,D. Moreau,2.19,1.55
2024-12-12,DemoUpcoming 7,B. Ferreira,H. Van Dijk,1.82,1.91
2024-12-13,DemoUpcoming 8,C. Lindqvist,E. Tanaka,1.96,2.03
2024-12-14,DemoUpcoming 9,D. Moreau,O. Silva,1.55,2.74
2024-12-15,DemoUpcoming 10,G. Petrov,C. Lindqvist,1.74,2.14
2024-12-16,DemoUpcoming 11,E. Tanaka,N. Berg,2.02,1.86
2024-12-17,DemoUpcoming 12,L. Kowalski,F. O'Connell,1.37,2.82
